phi0,phi1,phi2,phi3,phi4,phi5,phi6,classe
-1.5874001690211736e-07,3.692660718087932e-12,2.6362661370085335e-16,4.5533705557595615e-17,-2.6168542928485063e-33,4.2068742487597277e-23,5.583758281125141e-33,2.0
1.7822049065528062e-08,3.5167465499260385e-13,7.302799983891552e-16,1.084917082864629e-17,-1.6890502881291486e-33,-2.440579079994141e-24,-4.09770707684951e-34,2.0
7.553878727277352e-07,1.0106700896022029e-11,8.481052205757983e-15,1.4714589414736267e-15,-3.649911053358324e-30,-2.4963035992574375e-21,-5.2181828432483444e-30,2.0
1.3726259010957605e-06,2.1204248688473163e-11,4.1034355707362244e-15,1.1514193033563855e-16,8.196049286678448e-32,-2.9658756443422195e-22,-5.666747156111313e-32,2.0
4.225531268364298e-07,1.0046776804203199e-12,2.852825521303548e-15,2.703034103122347e-17,-1.119956668445318e-32,1.0031919328966896e-23,2.1315176547355496e-33,2.0
1.6842238798375106e-06,5.2262090314726415e-12,1.0410112790763392e-15,2.131927636894014e-17,9.346880073834625e-34,3.0871428664388515e-24,-2.411141619162549e-33,2.0
1.7609293466432824e-06,1.590823599656624e-11,3.4639204617545233e-15,5.376645554537451e-16,-7.768831585863784e-31,-1.2968788172014741e-21,5.667218078235989e-32,2.0
1.9745295455459867e-08,1.285942476027533e-11,1.1677449912619932e-14,2.944613749868114e-16,4.603563157808315e-31,5.265604767337617e-22,-3.48872072984948e-31,2.0
3.5115175369941713e-06,3.708743725072024e-11,6.106411087248332e-16,9.566840141898746e-16,1.1716691911826816e-30,1.876107702297298e-21,-4.84446755580311e-31,2.0
4.0494087939804895e-06,2.7421369624208426e-11,4.610583573270816e-15,1.8228729166995107e-15,4.649282476679718e-30,1.0657850699392946e-22,4.522932829730746e-30,3.0
2.692983814240681e-06,4.443928457194106e-11,1.3712124458954595e-14,3.594622856451341e-15,1.4972644185586367e-29,1.872786562374479e-21,2.278894223247953e-29,3.0
1.0864977089106094e-06,6.047652370449556e-12,2.4817202556011415e-16,5.8973515474932e-16,-4.7954475358457263e-32,4.276717922622694e-22,7.417814773947816e-31,3.0
1.9734057998752557e-06,1.908664730299888e-11,3.0951806846788963e-16,2.3424977056646162e-15,-3.96692509430318e-30,-1.9061407546807343e-21,-8.150801554605697e-30,3.0
4.732431264738954e-06,2.2437337275407436e-11,1.239967969022303e-15,4.947738921692532e-15,-2.5733934075239113e-29,-1.8605210412641006e-20,5.812838809815204e-29,3.0
1.4169566975018747e-06,8.588683605505476e-12,1.5152012143031079e-15,1.4246004676548743e-15,5.1015691956208515e-31,3.407160011285753e-22,3.803109363275973e-30,3.0
