phi0,phi1,phi2,phi3,phi4,phi5,phi6,classe
0.000155455,2.42E-08,2.17E-12,2.17E-12,4.71E-24,3.37E-16,-4.71E-24,0
0.000180081,3.24E-08,1.46E-11,1.46E-11,2.13E-22,2.63E-15,-2.13E-22,0
0.000160651,2.58E-08,3.03E-17,3.03E-17,9.16E-34,4.86E-21,-9.16E-34,0
0.000147468,2.17E-08,9.61E-13,9.61E-13,9.24E-25,1.42E-16,-9.24E-25,0
0.000195718,3.83E-08,3.87E-12,3.87E-12,1.50E-23,7.58E-16,-1.50E-23,0
0.000203755,4.15E-08,4.23E-13,4.23E-13,1.79E-25,8.62E-17,-1.79E-25,0
0.00018433,3.40E-08,3.96E-14,3.96E-14,1.57E-27,7.30E-18,-1.57E-27,0
0.000157392,2.48E-08,2.50E-12,2.50E-12,6.24E-24,3.93E-16,-6.24E-24,0
0.000180277,3.25E-08,4.51E-13,4.51E-13,2.03E-25,8.13E-17,-2.03E-25,0
0.00016712,2.79E-08,1.09E-12,1.09E-12,1.18E-24,1.82E-16,-1.18E-24,0
0.000173928,3.03E-08,9.17E-13,9.17E-13,8.41E-25,1.60E-16,-8.41E-25,0
0.000187403,3.51E-08,9.12E-12,9.12E-12,8.32E-23,1.71E-15,-8.32E-23,0
0.000146451,2.14E-08,6.13E-13,6.13E-13,3.76E-25,8.98E-17,-3.76E-25,0
0.000174598,3.05E-08,4.89E-12,4.89E-12,2.39E-23,8.54E-16,-2.39E-23,0
0.000154945,2.40E-08,3.94E-13,3.94E-13,1.55E-25,6.10E-17,-1.55E-25,0
0.000184492,3.40E-08,8.89E-12,8.89E-12,7.90E-23,1.64E-15,-7.90E-23,0
0.000193742,3.75E-08,3.75E-12,3.75E-12,1.40E-23,7.26E-16,-1.40E-23,0
0.000174073,3.03E-08,4.21E-12,4.21E-12,1.78E-23,7.34E-16,-1.78E-23,0
0.000145693,2.12E-08,9.89E-14,9.89E-14,9.78E-27,1.44E-17,-9.78E-27,0
0.000157327,2.48E-08,5.00E-13,5.00E-13,2.50E-25,7.86E-17,-2.50E-25,0
0.000184156,3.39E-08,1.51E-13,1.51E-13,2.27E-26,2.77E-17,-2.27E-26,0
0.000160684,2.58E-08,1.57E-12,1.57E-12,2.46E-24,2.52E-16,-2.46E-24,0
0.000152928,2.34E-08,1.98E-12,1.98E-12,3.91E-24,3.02E-16,-3.91E-24,0
0.00015875,2.52E-08,6.13E-12,6.13E-12,3.76E-23,9.74E-16,-3.76E-23,0
0.000173039,2.99E-08,2.81E-12,2.81E-12,7.88E-24,4.86E-16,-7.88E-24,0
0.000175404,3.08E-08,2.02E-12,2.02E-12,4.10E-24,3.55E-16,-4.10E-24,0
0.000160355,2.57E-08,3.32E-12,3.32E-12,1.10E-23,5.32E-16,-1.10E-23,0
0.000173575,3.01E-08,1.27E-11,1.27E-11,1.61E-22,2.20E-15,-1.61E-22,0
0.000174644,3.05E-08,8.46E-13,8.46E-13,7.16E-25,1.48E-16,-7.16E-25,0
0.000156671,2.45E-08,1.84E-13,1.84E-13,3.37E-26,2.88E-17,-3.37E-26,0
0.000167222,2.80E-08,3.54E-12,3.54E-12,1.26E-23,5.93E-16,-1.26E-23,0
0.000172078,2.96E-08,9.07E-14,9.07E-14,8.23E-27,1.56E-17,-8.23E-27,0
0.000170174,2.90E-08,7.11E-13,7.11E-13,5.05E-25,1.21E-16,-5.05E-25,0
0.000170887,2.92E-08,1.03E-12,1.03E-12,1.05E-24,1.75E-16,-1.05E-24,0
0.000151143,2.28E-08,3.01E-13,3.01E-13,9.09E-26,4.56E-17,-9.09E-26,0
0.00016844,2.84E-08,3.54E-12,3.54E-12,1.26E-23,5.97E-16,-1.26E-23,0
0.000146812,2.16E-08,9.99E-14,9.99E-14,9.99E-27,1.47E-17,-9.99E-27,0
0.000149954,2.25E-08,3.73E-14,3.73E-14,1.39E-27,5.60E-18,-1.39E-27,0
0.000157494,2.48E-08,1.28E-13,1.28E-13,1.64E-26,2.02E-17,-1.64E-26,0
0.00016729,2.80E-08,4.83E-12,4.83E-12,2.33E-23,8.08E-16,-2.33E-23,0
0.000175825,3.09E-08,4.36E-12,4.36E-12,1.90E-23,7.66E-16,-1.90E-23,0
0.000129096,1.67E-08,5.31E-15,5.31E-15,2.81E-29,6.85E-19,-2.81E-29,0
0.000165173,2.73E-08,2.75E-14,2.75E-14,7.56E-28,4.54E-18,-7.56E-28,0
0.000153113,2.34E-08,1.04E-15,1.04E-15,1.08E-30,1.59E-19,-1.08E-30,0
0.000156793,2.46E-08,6.33E-13,6.33E-13,4.00E-25,9.92E-17,-4.00E-25,0
0.000161991,2.62E-08,3.44E-12,3.44E-12,1.18E-23,5.57E-16,-1.18E-23,0
0.000156313,2.44E-08,1.49E-12,1.49E-12,2.21E-24,2.32E-16,-2.21E-24,0
0.00015991,2.56E-08,3.23E-12,3.23E-12,1.04E-23,5.16E-16,-1.04E-23,0
0.000144726,2.09E-08,2.67E-14,2.67E-14,7.13E-28,3.86E-18,-7.13E-28,0
0.000131488,1.73E-08,4.85E-13,4.85E-13,2.35E-25,6.37E-17,-2.35E-25,0
0.000161037,2.59E-08,5.75E-12,5.75E-12,3.30E-23,9.25E-16,-3.30E-23,0
0.000161748,2.62E-08,3.76E-12,3.76E-12,1.42E-23,6.09E-16,-1.42E-23,0
0.000149136,2.22E-08,5.24E-15,5.24E-15,2.75E-29,7.82E-19,-2.75E-29,0
0.000169611,2.88E-08,1.43E-12,1.43E-12,2.03E-24,2.42E-16,-2.03E-24,0
0.000154481,2.39E-08,1.66E-12,1.66E-12,2.75E-24,2.56E-16,-2.75E-24,0
0.000161841,2.62E-08,7.44E-13,7.44E-13,5.54E-25,1.20E-16,-5.54E-25,0
0.000162047,2.63E-08,1.02E-12,1.02E-12,1.03E-24,1.65E-16,-1.03E-24,0
0.000158484,2.51E-08,4.91E-12,4.91E-12,2.41E-23,7.78E-16,-2.41E-23,0
0.000169313,2.87E-08,2.01E-12,2.01E-12,4.03E-24,3.40E-16,-4.03E-24,0
0.000169019,2.86E-08,5.12E-12,5.12E-12,2.62E-23,8.65E-16,-2.62E-23,0
0.000155226,2.41E-08,1.00E-12,1.00E-12,1.00E-24,1.55E-16,-1.00E-24,0
0.000148947,2.22E-08,6.46E-13,6.46E-13,4.17E-25,9.62E-17,-4.17E-25,0
0.000168792,2.85E-08,5.97E-13,5.97E-13,3.56E-25,1.01E-16,-3.56E-25,0
0.000160493,2.58E-08,1.51E-12,1.51E-12,2.28E-24,2.42E-16,-2.28E-24,0
0.00015845,2.51E-08,1.25E-12,1.25E-12,1.56E-24,1.98E-16,-1.56E-24,0
0.000126185,1.59E-08,5.73E-14,5.73E-14,3.29E-27,7.24E-18,-3.29E-27,0
0.00014834,2.20E-08,1.71E-12,1.71E-12,2.93E-24,2.54E-16,-2.93E-24,0
0.000173538,3.01E-08,3.34E-12,3.34E-12,1.11E-23,5.79E-16,-1.11E-23,0
0.000153246,2.35E-08,2.13E-13,2.13E-13,4.52E-26,3.26E-17,-4.52E-26,0
0.000153075,2.34E-08,1.03E-12,1.03E-12,1.05E-24,1.57E-16,-1.05E-24,0
0.000156299,2.44E-08,3.32E-12,3.32E-12,1.10E-23,5.18E-16,-1.10E-23,0
0.000151121,2.28E-08,1.25E-13,1.25E-13,1.55E-26,1.88E-17,-1.55E-26,0
0.000145254,2.11E-08,1.25E-12,1.25E-12,1.57E-24,1.82E-16,-1.57E-24,0
0.000155724,2.42E-08,7.46E-13,7.46E-13,5.57E-25,1.16E-16,-5.57E-25,0
0.000155707,2.42E-08,7.22E-13,7.22E-13,5.21E-25,1.12E-16,-5.21E-25,0
0.000147901,2.19E-08,1.43E-13,1.43E-13,2.04E-26,2.11E-17,-2.04E-26,0
0.000152935,2.34E-08,4.39E-14,4.39E-14,1.93E-27,6.71E-18,-1.93E-27,0
0.000151636,2.30E-08,3.06E-13,3.06E-13,9.37E-26,4.64E-17,-9.37E-26,0
0.000143726,2.07E-08,1.06E-13,1.06E-13,1.12E-26,1.52E-17,-1.12E-26,0
0.000162352,2.64E-08,7.02E-14,7.02E-14,4.93E-27,1.14E-17,-4.93E-27,0
0.000155757,2.43E-08,1.54E-12,1.54E-12,2.36E-24,2.39E-16,-2.36E-24,0
0.000180429,3.26E-08,5.80E-14,5.80E-14,3.37E-27,1.05E-17,-3.37E-27,0
0.000160541,2.58E-08,6.68E-13,6.68E-13,4.46E-25,1.07E-16,-4.46E-25,0
